Tick,Commodity,GlobalPrice,NationalPrice,Production,Demand,Inventory
1,ENERGY,100.7555,100.7555,80,NaN,NaN
1,FOOD,50.886387,50.886387,80,NaN,NaN
1,METAL,78.4,78.4,80,NaN,NaN
2,ENERGY,100.96687,102.261314,80,76,NaN
2,FOOD,49.20876,49.839638,80,76,NaN
2,METAL,78.951256,79.96345,80,76,NaN
3,ENERGY,104.03368,105.467606,80,75.70769,NaN
3,FOOD,50.813805,51.514183,80,75.70769,NaN
3,METAL,82.086395,83.21781,80,75.70769,NaN
4,ENERGY,103.91717,105.35701,80,75.685745,NaN
4,FOOD,51.610107,52.325203,80,75.685745,NaN
4,METAL,81.50753,82.63687,80,75.685745,NaN
5,ENERGY,105.11519,106.5722,80,75.68409,NaN
5,FOOD,51.229565,51.93966,80,75.68409,NaN
5,METAL,80.00844,81.11744,80,75.68409,NaN
6,ENERGY,104.737,106.18881,80,75.68397,NaN
6,FOOD,50.847,51.55182,80,75.68397,NaN
6,METAL,80.285904,81.39879,80,75.68397,NaN
7,ENERGY,106.051216,107.52125,80,75.68396,NaN
7,FOOD,50.11472,50.809387,80,75.68396,NaN
7,METAL,80.280914,81.39373,80,75.68396,NaN
8,ENERGY,102.97262,104.39998,80,75.68396,NaN
8,FOOD,50.243557,50.94001,80,75.68396,NaN
8,METAL,81.76593,82.89933,80,75.68396,NaN
9,ENERGY,103.32496,104.7572,80,75.68396,NaN
9,FOOD,51.196987,51.906654,80,75.68396,NaN
9,METAL,83.50813,84.66569,80,75.68396,NaN
10,ENERGY,103.04707,104.475464,80,75.68396,NaN
10,FOOD,50.926155,51.63207,80,75.68396,NaN
10,METAL,80.98885,82.11148,80,75.68396,NaN
11,ENERGY,103.26778,104.69923,80,75.68396,NaN
11,FOOD,52.151237,52.874134,80,75.68396,NaN
11,METAL,82.65172,83.7974,80,75.68396,NaN
12,ENERGY,101.71573,103.12566,80,75.68396,NaN
12,FOOD,51.93807,52.65801,80,75.68396,NaN
12,METAL,82.02249,83.15945,80,75.68396,NaN
13,ENERGY,102.6612,104.08424,80,75.68396,NaN
13,FOOD,51.979507,52.700024,80,75.68396,NaN
13,METAL,84.64339,85.81667,80,75.68396,NaN
14,ENERGY,101.48735,102.89412,80,75.68396,NaN
14,FOOD,52.079155,52.801052,80,75.68396,NaN
14,METAL,84.47641,85.647385,80,75.68396,NaN
15,ENERGY,101.16969,102.57206,80,75.68396,NaN
15,FOOD,51.079433,51.78747,80,75.68396,NaN
15,METAL,83.21926,84.37281,80,75.68396,NaN
16,ENERGY,99.0651,100.43829,80,75.68396,NaN
16,FOOD,51.972992,52.693417,80,75.68396,NaN
16,METAL,84.799995,85.97546,80,75.68396,NaN
17,ENERGY,98.32394,99.68686,80,75.68396,NaN
17,FOOD,50.907135,51.612785,80,75.68396,NaN
17,METAL,81.90377,83.039085,80,75.68396,NaN
18,ENERGY,99.96632,101.352005,80,75.68396,NaN
18,FOOD,51.466106,52.179504,80,75.68396,NaN
18,METAL,84.73007,85.904564,80,75.68396,NaN
19,ENERGY,95.06107,96.37877,80,75.68396,NaN
19,FOOD,51.565205,52.279976,80,75.68396,NaN
19,METAL,84.64339,85.81667,80,75.68396,NaN
20,ENERGY,96.31043,97.64545,80,75.68396,NaN
20,FOOD,51.704205,52.420906,80,75.68396,NaN
20,METAL,81.36949,82.4974,80,75.68396,NaN
21,ENERGY,94.37816,95.686386,80,75.68396,NaN
21,FOOD,50.957256,51.6636,80,75.68396,NaN
21,METAL,81.17128,82.29644,80,75.68396,NaN
22,ENERGY,97.22564,98.57333,80,75.68396,NaN
22,FOOD,49.87102,50.56231,80,75.68396,NaN
22,METAL,81.88437,83.01941,80,75.68396,NaN
23,ENERGY,97.02739,98.37234,80,75.68396,NaN
23,FOOD,51.104633,51.813023,80,75.68396,NaN
23,METAL,83.94733,85.11096,80,75.68396,NaN
24,ENERGY,95.72796,97.05489,80,75.68396,NaN
24,FOOD,48.929523,49.60776,80,75.68396,NaN
24,METAL,83.10357,84.25551,80,75.68396,NaN
25,ENERGY,97.24471,98.592674,80,75.68396,NaN
25,FOOD,49.693768,50.3826,80,75.68396,NaN
25,METAL,82.350204,83.49171,80,75.68396,NaN
26,ENERGY,93.669876,94.968285,80,75.68396,NaN
26,FOOD,49.38098,50.06548,80,75.68396,NaN
26,METAL,81.414955,82.543495,80,75.68396,NaN
27,ENERGY,94.28428,95.5912,80,75.68396,NaN
27,FOOD,49.121727,49.80263,80,75.68396,NaN
27,METAL,82.90155,84.05069,80,75.68396,NaN
28,ENERGY,95.57199,96.89677,80,75.68396,NaN
28,FOOD,48.594357,49.26795,80,75.68396,NaN
28,METAL,79.66166,80.76589,80,75.68396,NaN
29,ENERGY,96.89623,98.239365,80,75.68396,NaN
29,FOOD,48.957382,49.636005,80,75.68396,NaN
29,METAL,80.660385,81.778465,80,75.68396,NaN
30,ENERGY,99.81255,101.196106,80,75.68396,NaN
30,FOOD,49.04375,49.72357,80,75.68396,NaN
30,METAL,81.81141,82.94544,80,75.68396,NaN
31,ENERGY,102,103.41388,80,75.68396,NaN
31,FOOD,49.57144,50.25858,80,75.68396,NaN
