Tick,Commodity,GlobalPrice,NationalPrice,Production,Demand,Inventory
1,ENERGY,100.7555,100.7555,80,NaN,NaN
1,FOOD,50.886387,50.886387,80,NaN,NaN
1,METAL,78.4,78.4,80,NaN,NaN
2,ENERGY,100.96687,99.672424,80,76,NaN
2,FOOD,49.20876,48.515236,80,76,NaN
2,METAL,78.951256,80.16744,80,76,NaN
3,ENERGY,104.03368,102.76648,80,76.19487,NaN
3,FOOD,50.813805,50.176075,80,76.428444,NaN
3,METAL,82.086395,83.446075,80,75.70732,NaN
4,ENERGY,103.91717,102.64807,80,76.18515,NaN
4,FOOD,51.610107,50.953682,80,76.38153,NaN
4,METAL,81.50753,82.86475,80,75.68529,NaN
5,ENERGY,105.11519,103.83163,80,76.18563,NaN
5,FOOD,51.229565,50.578926,80,76.38666,NaN
5,METAL,80.00844,81.341225,80,75.68362,NaN
6,ENERGY,104.737,103.458046,80,76.18561,NaN
6,FOOD,50.847,50.20112,80,76.38609,NaN
6,METAL,80.285904,81.62336,80,75.683495,NaN
7,ENERGY,106.051216,104.75622,80,76.18561,NaN
7,FOOD,50.11472,49.47815,80,76.386154,NaN
7,METAL,80.280914,81.618286,80,75.68349,NaN
8,ENERGY,102.97262,101.71521,80,76.18561,NaN
8,FOOD,50.243557,49.60535,80,76.386154,NaN
8,METAL,81.76593,83.128044,80,75.68349,NaN
9,ENERGY,103.32496,102.06325,80,76.18561,NaN
9,FOOD,51.196987,50.54667,80,76.386154,NaN
9,METAL,83.50813,84.89927,80,75.68349,NaN
10,ENERGY,103.04707,101.78876,80,76.18561,NaN
10,FOOD,50.926155,50.279278,80,76.386154,NaN
10,METAL,80.98885,82.33802,80,75.68349,NaN
11,ENERGY,103.26778,102.00677,80,76.18561,NaN
11,FOOD,52.151237,51.488796,80,76.386154,NaN
11,METAL,82.65172,84.02859,80,75.68349,NaN
12,ENERGY,101.71573,100.47367,80,76.18561,NaN
12,FOOD,51.93807,51.278336,80,76.386154,NaN
12,METAL,82.02249,83.38888,80,75.68349,NaN
13,ENERGY,102.6612,101.4076,80,76.18561,NaN
13,FOOD,51.979507,51.31925,80,76.386154,NaN
13,METAL,84.64339,86.05344,80,75.68349,NaN
14,ENERGY,101.48735,100.24808,80,76.18561,NaN
14,FOOD,52.079155,51.41763,80,76.386154,NaN
14,METAL,84.47641,85.883675,80,75.68349,NaN
15,ENERGY,101.16969,99.9343,80,76.18561,NaN
15,FOOD,51.079433,50.430607,80,76.386154,NaN
15,METAL,83.21926,84.60558,80,75.68349,NaN
16,ENERGY,99.0651,97.85541,80,76.18561,NaN
16,FOOD,51.972992,51.312817,80,76.386154,NaN
16,METAL,84.799995,86.21265,80,75.68349,NaN
17,ENERGY,98.32394,97.12329,80,76.18561,NaN
17,FOOD,50.907135,50.260498,80,76.386154,NaN
17,METAL,81.90377,83.26818,80,75.68349,NaN
18,ENERGY,99.96632,98.74562,80,76.18561,NaN
18,FOOD,51.466106,50.81237,80,76.386154,NaN
18,METAL,84.73007,86.14156,80,75.68349,NaN
19,ENERGY,95.06107,93.900276,80,76.18561,NaN
19,FOOD,51.565205,50.91021,80,76.386154,NaN
19,METAL,84.64339,86.05344,80,75.68349,NaN
20,ENERGY,96.31043,95.13438,80,76.18561,NaN
20,FOOD,51.704205,51.047443,80,76.386154,NaN
20,METAL,81.36949,82.725,80,75.68349,NaN
21,ENERGY,94.37816,93.2257,80,76.18561,NaN
21,FOOD,50.957256,50.309982,80,76.386154,NaN
21,METAL,81.17128,82.52348,80,75.68349,NaN
22,ENERGY,97.22564,96.03841,80,76.18561,NaN
22,FOOD,49.87102,49.237545,80,76.386154,NaN
22,METAL,81.88437,83.24845,80,75.68349,NaN
23,ENERGY,97.02739,95.84258,80,76.18561,NaN
23,FOOD,51.104633,50.455486,80,76.386154,NaN
23,METAL,83.94733,85.34578,80,75.68349,NaN
24,ENERGY,95.72796,94.55901,80,76.18561,NaN
24,FOOD,48.929523,48.308006,80,76.386154,NaN
24,METAL,83.10357,84.48796,80,75.68349,NaN
25,ENERGY,97.24471,96.05725,80,76.18561,NaN
25,FOOD,49.693768,49.062542,80,76.386154,NaN
25,METAL,82.350204,83.722046,80,75.68349,NaN
26,ENERGY,93.669876,92.52606,80,76.18561,NaN
26,FOOD,49.38098,48.75373,80,76.386154,NaN
26,METAL,81.414955,82.77122,80,75.68349,NaN
27,ENERGY,94.28428,93.132965,80,76.18561,NaN
27,FOOD,49.121727,48.49777,80,76.386154,NaN
27,METAL,82.90155,84.28258,80,75.68349,NaN
28,ENERGY,95.57199,94.40495,80,76.18561,NaN
28,FOOD,48.594357,47.977097,80,76.386154,NaN
28,METAL,79.66166,80.988716,80,75.68349,NaN
29,ENERGY,96.89623,95.71303,80,76.18561,NaN
29,FOOD,48.957382,48.33551,80,76.386154,NaN
29,METAL,80.660385,82.00408,80,75.68349,NaN
30,ENERGY,99.81255,98.593735,80,76.18561,NaN
30,FOOD,49.04375,48.420784,80,76.386154,NaN
30,METAL,81.81141,83.17428,80,75.68349,NaN
31,ENERGY,102,100.75447,80,76.18561,NaN
31,FOOD,49.57144,48.941772,80,76.386154,NaN
31,METAL,80.80621,82.152336,80,75.68349,NaN
